volumeNumber,aidType,geopoliticalHeading,regionHeading,subregionHeading,localHeading,precedingNote,featureNumber,name,position,charNo,characteristic,heightFeetMeters,range,structure,remarks,postNote,noticeNumber,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,FALMOUTH:,,,,70, -Southover Scorpio Lighted Buoy.,"50°08'18""N 
4°59'48""W",1,"Q.(6)+L.Fl.W. 
period 15s 
",,,"S. CARDINAL YB, pillar, topmark.
",,,199819,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,FALMOUTH:,,,,70, -RACON,"50°08'18""N 
4°59'48""W",2,"D(- • • ) 
period 30s 
",,10,,,,199819,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"100
A0078","Mevagissey, S. breakwater, head.","50°16'08.59""N 
4°46'55.6""W",1,"Fl.(2)W.
period 10s 
fl. 1.5s, ec. 2.0s 
","30
9",12,"White metal tower, black base; 26.
","Fishing light.
Diaphone: 1 bl. ev. 30s (bl. 2.0s, si. 28.0s)
",,201514,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"102
A0080","Charlestown, N. breakwater, head.","50°19'48""N 
4°45'18""W",1,"2 F.G. (vert.)
","16
5",1,,,,200203,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"102.5
A0080.20"," -S. breakwater, head.","50°19'48""N 
4°45'18""W",1,"2 F.R. (vert.)
","16
5",1,,,,201217,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,FOWEY:,,,,"104
A0082", -Fowey.,"50°19'37.41""N 
4°38'50.2""W",1,"L.Fl.W.R.
period 5s 
fl. 2.0s, ec. 3.0s 
","92
28","W. 11 
R. 9","White octagonal tower, red lantern; 20.
","R. 284°-295°, W.-028°, R.-054°.
",,201911,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,FOWEY:,,,,"108
A0084", -Whitehouse Point.,"50°19'57.76""N 
4°38'16.66""W",1,"Iso.W.R.G.
period 3s 
","36
11","W. 11 
R. 8 
G. 8","Red metal column; 14.
","G. 017°-022°, W.-032°, R.-037°.
",,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,FOWEY:,,,,"112
A0086"," --N. pier, head.","50°20'00""N 
4°38'12""W",1,"2 F.R. (vert.)
","12
4",8,"Red post; 7.
",,,201514,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,POLPERRO:,,,,"118
A0090", -Spy House Point.,"50°19'48.94""N 
4°30'41.67""W",1,"Iso.W.R. 
period 6s 
","98
30",7,"White concrete pillar; 10. 
","W. 288°-060°, R.-288°.
",,201911,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,POLPERRO:,,,,"120
A0092"," -Tidal basin, W. pier, head.","50°19'48""N 
4°30'54""W",1,"F.W.
","14
4",4,"Post; 10.
","Shows F.R. when harbor is closed.
",,200203,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,LOOE:,,,,"124
A0093", -Looe Harbor entrance.,"50°20'33.3""N 
4°26'56.7""W",1,"Q.(3)W.
period 10s 
",,2,"E. CARDINAL BYB, beacon, topmark.
",,,201911,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,LOOE:,,,,"128
A0094", -Looe.,"50°21'02.91""N 
4°27'03.7""W",1,"Oc.W.R.
period 3s 
fl. 2.0s, ec. 1.0s 
","26
8","W. 15 
R. 12","Red metal column; 20.
","R. 207°-267°, W.-313°, R.-332°.  Fishing light.
",,201911,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"132
A0098",Eddystone.,"50°10'50.7""N 
4°15'56.3""W",1,"Fl.(2)W.
period 10s 
fl. 0.1s, ec. 2.4s 
","135
41",17,"Gray granite tower, red lantern; 161.
Helicopter platform. 
","Reserve light range 10M.  AIS (MMSI No 992351125).
Horn: 1 bl. ev. 30s (bl. 3.0s, si. 27.0s)
",,201911,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"132
A0098",,"50°10'50.7""N 
4°15'56.3""W",2,"Iso.R.
period 10s 
","93
28",,"Helicopter platform. 
","Visible 110°-133° over Hand Deeps.
",,201911,
